Input,Output
"Applicant earns $108176 annually, has a credit score of 736, outstanding loans totaling $44523, 0 missed payments in the last year, employment status: Freelancer, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $88988 annually, has a credit score of 719, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $92363 annually, has a credit score of 772, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $123247 annually, has a credit score of 766, outstanding loans totaling $66668, 0 missed payments in the last year, employment status: Self-employed, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $133153 annually, has a credit score of 624, outstanding loans totaling $11951, 4 missed payments in the last year, employment status: Unemployed, Owns home, and 1 recent credit inquiries.",Rejected
"Applicant earns $98719 annually, has a credit score of 566, outstanding loans totaling $30967, 6 missed payments in the last year, employment status: Freelancer, Owns home, and 4 recent credit inquiries.",Rejected
"Applicant earns $109998 annually, has a credit score of 810, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $130975 annually, has a credit score of 793, no outstanding loan, 9 missed payments in the last year, employment status: Unemployed, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $81574 annually, has a credit score of 557, no outstanding loan, 5 missed payments in the last year, employment status: Unemployed, Living with roommates, and 2 recent credit inquiries.",Rejected
"Applicant earns $69579 annually, has a credit score of 515, outstanding loans totaling $69313, 10 missed payments in the last year, employment status: Employed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $127661 annually, has a credit score of 559, no outstanding loan, 4 missed payments in the last year, employment status: Self-employed, Living with roommates, and 4 recent credit inquiries.",Rejected
"Applicant earns $65419 annually, has a credit score of 555, no outstanding loan, 8 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $66654 annually, has a credit score of 837, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $149160 annually, has a credit score of 703, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $97696 annually, has a credit score of 825, outstanding loans totaling $27625, 1 missed payments in the last year, employment status: Recently changed jobs, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $34069 annually, has a credit score of 643, outstanding loans totaling $68057, 3 missed payments in the last year, employment status: Freelancer, Living with family, and 0 recent credit inquiries.",Rejected
"Applicant earns $127322 annually, has a credit score of 681, outstanding loans totaling $50487, 7 missed payments in the last year, employment status: Unemployed, Living with family, and 0 recent credit inquiries.",Rejected
"Applicant earns $141878 annually, has a credit score of 728, outstanding loans totaling $25290, 9 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 5 recent credit inquiries.",Rejected
"Applicant earns $80357 annually, has a credit score of 805, outstanding loans totaling $32663, 1 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $73106 annually, has a credit score of 789, outstanding loans totaling $30637, 6 missed payments in the last year, employment status: Recently changed jobs, Owns home, and 3 recent credit inquiries.",Rejected
"Applicant earns $147189 annually, has a credit score of 808, outstanding loans totaling $47486, 1 missed payments in the last year, employment status: Self-employed, Living with family, and 2 recent credit inquiries.",Approved
"Applicant earns $108639 annually, has a credit score of 786, outstanding loans totaling $58206, 9 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 1 recent credit inquiries.",Rejected
"Applicant earns $145902 annually, has a credit score of 754, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $106842 annually, has a credit score of 747, no outstanding loan, 9 missed payments in the last year, employment status: Self-employed, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $128876 annually, has a credit score of 556, no outstanding loan, 10 missed payments in the last year, employment status: Freelancer, Living with family, and 5 recent credit inquiries.",Rejected
"Applicant earns $106983 annually, has a credit score of 750, outstanding loans totaling $49404, 1 missed payments in the last year, employment status: Self-employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $59739 annually, has a credit score of 772, outstanding loans totaling $7433, 2 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $137822 annually, has a credit score of 773, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $136462 annually, has a credit score of 723, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $50927 annually, has a credit score of 800, outstanding loans totaling $17689, 0 missed payments in the last year, employment status: Employed, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $127100 annually, has a credit score of 789, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $138345 annually, has a credit score of 750, no outstanding loan, 4 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 5 recent credit inquiries.",Rejected
"Applicant earns $64043 annually, has a credit score of 714, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $107143 annually, has a credit score of 805, no outstanding loan, 4 missed payments in the last year, employment status: Unemployed, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $64884 annually, has a credit score of 678, outstanding loans totaling $43649, 1 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Rejected
"Applicant earns $131892 annually, has a credit score of 721, outstanding loans totaling $60620, 2 missed payments in the last year, employment status: Freelancer, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $113670 annually, has a credit score of 838, outstanding loans totaling $32748, 0 missed payments in the last year, employment status: Unemployed, Owns home, and 3 recent credit inquiries.",Rejected
"Applicant earns $111995 annually, has a credit score of 729, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Owns home, and 0 recent credit inquiries.",Approved
"Applicant earns $35287 annually, has a credit score of 838, outstanding loans totaling $6738, 10 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 4 recent credit inquiries.",Rejected
"Applicant earns $138741 annually, has a credit score of 810, outstanding loans totaling $63986, 1 missed payments in the last year, employment status: Employed, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $119466 annually, has a credit score of 739, outstanding loans totaling $9692, 3 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 3 recent credit inquiries.",Rejected
"Applicant earns $139734 annually, has a credit score of 845, outstanding loans totaling $29300, 5 missed payments in the last year, employment status: Unemployed, Living with roommates, and 5 recent credit inquiries.",Rejected
"Applicant earns $133316 annually, has a credit score of 689, outstanding loans totaling $38374, 9 missed payments in the last year, employment status: Unemployed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $82912 annually, has a credit score of 816, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $137739 annually, has a credit score of 785, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $38451 annually, has a credit score of 794, no outstanding loan, 5 missed payments in the last year, employment status: Freelancer, Living with roommates, and 4 recent credit inquiries.",Rejected
"Applicant earns $131405 annually, has a credit score of 778, no outstanding loan, 4 missed payments in the last year, employment status: Self-employed, Living with roommates, and 5 recent credit inquiries.",Rejected
"Applicant earns $32482 annually, has a credit score of 724, no outstanding loan, 7 missed payments in the last year, employment status: Unemployed, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $35990 annually, has a credit score of 586, outstanding loans totaling $55793, 7 missed payments in the last year, employment status: Freelancer, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $56576 annually, has a credit score of 762, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $50448 annually, has a credit score of 821, no outstanding loan, 2 missed payments in the last year, employment status: Freelancer, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $146939 annually, has a credit score of 831, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $111221 annually, has a credit score of 773, outstanding loans totaling $14170, 0 missed payments in the last year, employment status: Self-employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $81971 annually, has a credit score of 700, no outstanding loan, 4 missed payments in the last year, employment status: Freelancer, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $133773 annually, has a credit score of 788, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $56871 annually, has a credit score of 705, outstanding loans totaling $35211, 0 missed payments in the last year, employment status: Employed, Living with family, and 2 recent credit inquiries.",Approved
"Applicant earns $125269 annually, has a credit score of 719, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $111154 annually, has a credit score of 716, outstanding loans totaling $59776, 1 missed payments in the last year, employment status: Employed, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $71027 annually, has a credit score of 525, no outstanding loan, 1 missed payments in the last year, employment status: Unemployed, Living with family, and 0 recent credit inquiries.",Rejected
"Applicant earns $89493 annually, has a credit score of 750, outstanding loans totaling $35185, 1 missed payments in the last year, employment status: Employed, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $116646 annually, has a credit score of 839, no outstanding loan, 8 missed payments in the last year, employment status: Self-employed, Living with family, and 2 recent credit inquiries.",Rejected
"Applicant earns $125384 annually, has a credit score of 567, outstanding loans totaling $65039, 10 missed payments in the last year, employment status: Freelancer, Rents apartment, and 2 recent credit inquiries.",Rejected
"Applicant earns $36771 annually, has a credit score of 721, no outstanding loan, 3 missed payments in the last year, employment status: Employed, Living with roommates, and 0 recent credit inquiries.",Rejected
"Applicant earns $67151 annually, has a credit score of 757, no outstanding loan, 2 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $126366 annually, has a credit score of 838, outstanding loans totaling $56317, 1 missed payments in the last year, employment status: Employed, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $56615 annually, has a credit score of 558, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Owns home, and 5 recent credit inquiries.",Rejected
"Applicant earns $42488 annually, has a credit score of 760, no outstanding loan, 9 missed payments in the last year, employment status: Unemployed, Rents apartment, and 5 recent credit inquiries.",Rejected
"Applicant earns $144776 annually, has a credit score of 752, outstanding loans totaling $53836, 2 missed payments in the last year, employment status: Self-employed, Owns home, and 0 recent credit inquiries.",Approved
"Applicant earns $118359 annually, has a credit score of 725, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $52665 annually, has a credit score of 767, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $91691 annually, has a credit score of 562, outstanding loans totaling $16374, 9 missed payments in the last year, employment status: Self-employed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $47944 annually, has a credit score of 814, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $129672 annually, has a credit score of 785, no outstanding loan, 4 missed payments in the last year, employment status: Self-employed, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $140090 annually, has a credit score of 773, no outstanding loan, 2 missed payments in the last year, employment status: Freelancer, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $138212 annually, has a credit score of 821, outstanding loans totaling $8671, 0 missed payments in the last year, employment status: Employed, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $45347 annually, has a credit score of 546, no outstanding loan, 10 missed payments in the last year, employment status: Unemployed, Owns home, and 3 recent credit inquiries.",Rejected
"Applicant earns $114885 annually, has a credit score of 738, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Owns home, and 3 recent credit inquiries.",Rejected
"Applicant earns $43496 annually, has a credit score of 765, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $111751 annually, has a credit score of 828, no outstanding loan, 2 missed payments in the last year, employment status: Employed, Owns home, and 5 recent credit inquiries.",Rejected
"Applicant earns $109047 annually, has a credit score of 716, no outstanding loan, 8 missed payments in the last year, employment status: Employed, Owns home, and 2 recent credit inquiries.",Rejected
"Applicant earns $73178 annually, has a credit score of 732, outstanding loans totaling $63281, 8 missed payments in the last year, employment status: Unemployed, Living with roommates, and 5 recent credit inquiries.",Rejected
"Applicant earns $65943 annually, has a credit score of 565, outstanding loans totaling $24923, 9 missed payments in the last year, employment status: Employed, Rents apartment, and 4 recent credit inquiries.",Rejected
"Applicant earns $121965 annually, has a credit score of 719, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $128411 annually, has a credit score of 807, outstanding loans totaling $15948, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $130472 annually, has a credit score of 805, outstanding loans totaling $19150, 2 missed payments in the last year, employment status: Employed, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $96894 annually, has a credit score of 702, outstanding loans totaling $13592, 4 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $32681 annually, has a credit score of 707, no outstanding loan, 1 missed payments in the last year, employment status: Recently changed jobs, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $102938 annually, has a credit score of 820, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $95069 annually, has a credit score of 751, no outstanding loan, 2 missed payments in the last year, employment status: Freelancer, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $82002 annually, has a credit score of 747, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Living with family, and 2 recent credit inquiries.",Approved
"Applicant earns $51890 annually, has a credit score of 644, no outstanding loan, 3 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 2 recent credit inquiries.",Rejected
"Applicant earns $93486 annually, has a credit score of 810, outstanding loans totaling $15630, 1 missed payments in the last year, employment status: Self-employed, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $105862 annually, has a credit score of 825, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Living with family, and 2 recent credit inquiries.",Approved
"Applicant earns $36210 annually, has a credit score of 808, outstanding loans totaling $64850, 2 missed payments in the last year, employment status: Unemployed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $30633 annually, has a credit score of 819, no outstanding loan, 2 missed payments in the last year, employment status: Freelancer, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $118573 annually, has a credit score of 742, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $99232 annually, has a credit score of 708, outstanding loans totaling $11084, 1 missed payments in the last year, employment status: Employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $109260 annually, has a credit score of 818, outstanding loans totaling $48249, 1 missed payments in the last year, employment status: Freelancer, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $74321 annually, has a credit score of 762, no outstanding loan, 5 missed payments in the last year, employment status: Unemployed, Living with family, and 5 recent credit inquiries.",Rejected
"Applicant earns $64439 annually, has a credit score of 839, outstanding loans totaling $25605, 0 missed payments in the last year, employment status: Self-employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $104869 annually, has a credit score of 786, no outstanding loan, 10 missed payments in the last year, employment status: Employed, Owns home, and 3 recent credit inquiries.",Rejected
"Applicant earns $86085 annually, has a credit score of 752, no outstanding loan, 2 missed payments in the last year, employment status: Freelancer, Owns home, and 0 recent credit inquiries.",Approved
"Applicant earns $42232 annually, has a credit score of 758, no outstanding loan, 6 missed payments in the last year, employment status: Freelancer, Living with roommates, and 4 recent credit inquiries.",Rejected
"Applicant earns $80445 annually, has a credit score of 709, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $106774 annually, has a credit score of 815, outstanding loans totaling $52268, 5 missed payments in the last year, employment status: Employed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $103739 annually, has a credit score of 835, no outstanding loan, 2 missed payments in the last year, employment status: Employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $61124 annually, has a credit score of 714, no outstanding loan, 5 missed payments in the last year, employment status: Employed, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $111866 annually, has a credit score of 658, outstanding loans totaling $41725, 3 missed payments in the last year, employment status: Employed, Rents apartment, and 4 recent credit inquiries.",Rejected
"Applicant earns $130894 annually, has a credit score of 746, outstanding loans totaling $17835, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $54260 annually, has a credit score of 740, outstanding loans totaling $57189, 10 missed payments in the last year, employment status: Recently changed jobs, Living with roommates, and 2 recent credit inquiries.",Rejected
"Applicant earns $103573 annually, has a credit score of 846, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $105868 annually, has a credit score of 549, no outstanding loan, 8 missed payments in the last year, employment status: Unemployed, Living with roommates, and 4 recent credit inquiries.",Rejected
"Applicant earns $72191 annually, has a credit score of 535, no outstanding loan, 9 missed payments in the last year, employment status: Recently changed jobs, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $122657 annually, has a credit score of 631, no outstanding loan, 7 missed payments in the last year, employment status: Employed, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $72674 annually, has a credit score of 755, outstanding loans totaling $52306, 3 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 2 recent credit inquiries.",Rejected
"Applicant earns $147106 annually, has a credit score of 796, no outstanding loan, 2 missed payments in the last year, employment status: Employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $113567 annually, has a credit score of 622, outstanding loans totaling $33604, 8 missed payments in the last year, employment status: Unemployed, Rents apartment, and 1 recent credit inquiries.",Rejected
"Applicant earns $139184 annually, has a credit score of 560, no outstanding loan, 8 missed payments in the last year, employment status: Recently changed jobs, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $70749 annually, has a credit score of 592, outstanding loans totaling $21908, 3 missed payments in the last year, employment status: Unemployed, Owns home, and 1 recent credit inquiries.",Rejected
"Applicant earns $141223 annually, has a credit score of 759, outstanding loans totaling $50468, 10 missed payments in the last year, employment status: Employed, Living with family, and 5 recent credit inquiries.",Rejected
"Applicant earns $82374 annually, has a credit score of 816, outstanding loans totaling $40838, 2 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $53241 annually, has a credit score of 506, no outstanding loan, 7 missed payments in the last year, employment status: Self-employed, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $105992 annually, has a credit score of 742, outstanding loans totaling $51632, 9 missed payments in the last year, employment status: Recently changed jobs, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $68478 annually, has a credit score of 722, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $102147 annually, has a credit score of 781, outstanding loans totaling $61269, 1 missed payments in the last year, employment status: Self-employed, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $55838 annually, has a credit score of 699, outstanding loans totaling $15473, 7 missed payments in the last year, employment status: Unemployed, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $78304 annually, has a credit score of 833, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $51251 annually, has a credit score of 527, outstanding loans totaling $14793, 6 missed payments in the last year, employment status: Recently changed jobs, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $91760 annually, has a credit score of 722, outstanding loans totaling $30093, 2 missed payments in the last year, employment status: Employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $31378 annually, has a credit score of 849, outstanding loans totaling $9715, 1 missed payments in the last year, employment status: Employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $46007 annually, has a credit score of 810, outstanding loans totaling $67260, 3 missed payments in the last year, employment status: Self-employed, Living with family, and 2 recent credit inquiries.",Rejected
"Applicant earns $60122 annually, has a credit score of 843, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $140375 annually, has a credit score of 716, no outstanding loan, 8 missed payments in the last year, employment status: Recently changed jobs, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $125794 annually, has a credit score of 797, no outstanding loan, 5 missed payments in the last year, employment status: Freelancer, Rents apartment, and 0 recent credit inquiries.",Rejected
"Applicant earns $36922 annually, has a credit score of 539, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Living with roommates, and 5 recent credit inquiries.",Rejected
"Applicant earns $58689 annually, has a credit score of 838, outstanding loans totaling $32172, 2 missed payments in the last year, employment status: Self-employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $142398 annually, has a credit score of 625, outstanding loans totaling $8046, 4 missed payments in the last year, employment status: Recently changed jobs, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $93072 annually, has a credit score of 688, no outstanding loan, 8 missed payments in the last year, employment status: Self-employed, Rents apartment, and 4 recent credit inquiries.",Rejected
"Applicant earns $122622 annually, has a credit score of 784, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $87210 annually, has a credit score of 653, outstanding loans totaling $31897, 9 missed payments in the last year, employment status: Unemployed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $116818 annually, has a credit score of 742, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $119331 annually, has a credit score of 563, outstanding loans totaling $66070, 3 missed payments in the last year, employment status: Freelancer, Living with family, and 3 recent credit inquiries.",Rejected
"Applicant earns $117404 annually, has a credit score of 748, outstanding loans totaling $50176, 1 missed payments in the last year, employment status: Freelancer, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $138272 annually, has a credit score of 705, outstanding loans totaling $40981, 0 missed payments in the last year, employment status: Employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $33909 annually, has a credit score of 831, outstanding loans totaling $10570, 0 missed payments in the last year, employment status: Employed, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $86216 annually, has a credit score of 654, outstanding loans totaling $68433, 1 missed payments in the last year, employment status: Recently changed jobs, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $146510 annually, has a credit score of 740, outstanding loans totaling $19997, 1 missed payments in the last year, employment status: Freelancer, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $80136 annually, has a credit score of 755, no outstanding loan, 4 missed payments in the last year, employment status: Recently changed jobs, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $50249 annually, has a credit score of 772, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $49633 annually, has a credit score of 519, outstanding loans totaling $6730, 2 missed payments in the last year, employment status: Employed, Rents apartment, and 4 recent credit inquiries.",Rejected
"Applicant earns $137488 annually, has a credit score of 792, no outstanding loan, 10 missed payments in the last year, employment status: Freelancer, Living with roommates, and 0 recent credit inquiries.",Rejected
"Applicant earns $144168 annually, has a credit score of 688, no outstanding loan, 9 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 2 recent credit inquiries.",Rejected
"Applicant earns $42514 annually, has a credit score of 648, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Rejected
"Applicant earns $96878 annually, has a credit score of 519, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Rents apartment, and 5 recent credit inquiries.",Rejected
"Applicant earns $141207 annually, has a credit score of 716, outstanding loans totaling $67329, 1 missed payments in the last year, employment status: Self-employed, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $31006 annually, has a credit score of 731, no outstanding loan, 2 missed payments in the last year, employment status: Freelancer, Owns home, and 0 recent credit inquiries.",Approved
